run,run_data,mode
0,938,core
1,736,core
2,951,core
3,247,core
4,678,core
5,322,native
6,967,native
7,883,native
8,593,native
9,818,native
10,782,core
11,262,core
12,653,core
13,334,core
14,356,core
15,667,native
16,858,native
17,324,native
18,734,native
19,804,native
20,830,core
21,231,core
22,722,core
23,737,core
24,331,core
25,451,native
26,631,native
27,779,native
28,626,native
29,955,native
30,303,core
31,658,core
32,461,core
33,260,core
34,930,core
35,878,native
36,398,native
37,770,native
38,559,native
39,859,native
40,877,core
41,485,core
42,601,core
43,777,core
44,489,core
45,742,native
46,744,native
47,396,native
48,504,native
49,514,native
50,643,core
51,905,core
52,239,core
53,529,core
54,978,core
55,437,native
56,537,native
57,495,native
58,568,native
59,728,native
60,864,core
61,471,core
62,921,core
63,424,core
64,917,core
65,678,native
66,609,native
67,396,native
68,635,native
69,485,native
70,885,core
71,273,core
72,844,core
73,206,core
74,939,core
75,729,native
76,720,native
77,252,native
78,342,native
79,256,native
80,548,core
81,779,core
82,357,core
83,444,core
84,427,core
85,991,native
86,637,native
87,294,native
88,885,native
89,490,native
90,633,core
91,810,core
92,716,core
93,703,core
94,827,core
95,992,native
96,655,native
97,746,native
98,813,native
99,227,native
100,401,core
101,409,core
102,332,core
103,313,core
104,837,core
105,793,native
106,311,native
107,970,native
108,965,native
109,866,native
110,935,core
111,458,core
112,646,core
113,886,core
114,978,core
115,953,native
116,297,native
117,939,native
118,580,native
119,851,native
120,700,core
121,979,core
122,345,core
123,281,core
124,649,core
125,280,native
126,759,native
127,740,native
128,594,native
129,807,native
130,407,core
131,394,core
132,990,core
133,457,core
134,836,core
135,816,native
136,939,native
137,407,native
138,357,native
139,477,native
140,414,core
141,530,core
142,643,core
143,641,core
144,667,core
145,745,native
146,417,native
147,280,native
148,990,native
149,308,native
150,947,core
151,479,core
152,392,core
153,979,core
154,393,core
155,600,native
156,957,native
157,806,native
158,534,native
159,676,native
160,573,core
161,586,core
162,625,core
163,618,core
164,464,core
165,593,native
166,482,native
167,652,native
168,394,native
169,220,native
170,451,core
171,485,core
172,780,core
173,735,core
174,699,core
175,708,native
176,876,native
177,274,native
178,820,native
179,448,native
180,373,core
181,726,core
182,521,core
183,787,core
184,872,core
185,871,native
186,556,native
187,331,native
188,219,native
189,917,native
190,394,core
191,919,core
192,404,core
193,899,core
194,682,core
195,745,native
196,464,native
197,904,native
198,305,native
199,613,native
200,317,core
201,312,core
202,576,core
203,874,core
204,458,core
205,447,native
206,573,native
207,507,native
208,423,native
209,790,native
210,966,core
211,635,core
212,973,core
213,539,core
214,209,core
215,260,native
216,440,native
217,366,native
218,761,native
219,619,native
220,779,core
221,531,core
222,335,core
223,888,core
224,738,core
225,248,native
226,872,native
227,788,native
228,569,native
229,537,native
230,767,core
231,991,core
232,730,core
233,487,core
234,321,core
235,452,native
236,338,native
237,982,native
238,835,native
239,497,native
240,247,core
241,485,core
242,965,core
243,827,core
244,343,core
245,510,native
246,499,native
247,729,native
248,846,native
249,455,native
250,762,core
251,270,core
252,554,core
253,240,core
254,827,core
255,207,native
256,744,native
257,920,native
258,333,native
259,354,native
260,307,core
261,943,core
262,618,core
263,887,core
264,352,core
265,683,native
266,896,native
267,416,native
268,551,native
269,488,native
270,410,core
271,975,core
272,439,core
273,998,core
274,774,core
275,518,native
276,566,native
277,303,native
278,974,native
279,773,native
280,712,core
281,915,core
282,219,core
283,559,core
284,962,core
285,737,native
286,841,native
287,305,native
288,500,native
289,756,native
290,285,core
291,783,core
292,647,core
293,804,core
294,259,core
295,553,native
296,719,native
297,697,native
298,773,native
299,750,native
300,304,core
301,598,core
302,683,core
303,942,core
304,433,core
305,543,native
306,671,native
307,243,native
308,626,native
309,807,native
310,809,core
311,914,core
312,331,core
313,769,core
314,444,core
315,779,native
316,342,native
317,979,native
318,245,native
319,720,native
320,887,core
321,691,core
322,967,core
323,808,core
324,446,core
325,797,native
326,221,native
327,683,native
328,762,native
329,862,native
330,543,core
331,951,core
332,458,core
333,718,core
334,630,core
335,973,native
336,234,native
337,279,native
338,750,native
339,684,native
340,350,core
341,263,core
342,766,core
343,843,core
344,631,core
345,279,native
346,482,native
347,411,native
348,820,native
349,296,native
350,393,core
351,915,core
352,364,core
353,298,core
354,608,core
355,772,native
356,556,native
357,555,native
358,390,native
359,849,native
360,433,core
361,859,core
362,766,core
363,485,core
364,573,core
365,898,native
366,505,native
367,552,native
368,686,native
369,346,native
370,724,core
371,529,core
372,588,core
373,382,core
374,258,core
375,817,native
376,324,native
377,832,native
378,529,native
379,570,native
380,424,core
381,980,core
382,979,core
383,783,core
384,622,core
385,405,native
386,204,native
387,979,native
388,949,native
389,302,native
390,701,core
391,649,core
392,318,core
393,554,core
394,217,core
395,690,native
396,715,native
397,900,native
398,430,native
399,466,native
400,489,core
401,211,core
402,832,core
403,688,core
404,871,core
405,655,native
406,610,native
407,742,native
408,369,native
409,948,native
410,467,core
411,773,core
412,357,core
413,599,core
414,232,core
415,835,native
416,511,native
417,923,native
418,829,native
419,994,native
420,844,core
421,930,core
422,746,core
423,538,core
424,640,core
425,502,native
426,707,native
427,512,native
428,687,native
429,573,native
430,877,core
431,470,core
432,737,core
433,254,core
434,261,core
435,724,native
436,505,native
437,215,native
438,961,native
439,309,native
440,966,core
441,308,core
442,294,core
443,784,core
444,888,core
445,301,native
446,507,native
447,485,native
448,565,native
449,749,native
450,982,core
451,942,core
452,360,core
453,839,core
454,207,core
455,767,native
456,791,native
457,621,native
458,509,native
459,233,native
460,507,core
461,222,core
462,668,core
463,222,core
464,880,core
465,691,native
466,859,native
467,255,native
468,629,native
469,487,native
470,975,core
471,817,core
472,591,core
473,793,core
474,799,core
475,670,native
476,598,native
477,435,native
478,865,native
479,952,native
480,938,core
481,529,core
482,946,core
483,679,core
484,274,core
485,333,native
486,420,native
487,610,native
488,726,native
489,255,native
490,551,core
491,909,core
492,753,core
493,405,core
494,222,core
495,904,native
496,400,native
497,649,native
498,728,native
499,384,native
500,698,core
501,288,core
502,291,core
503,917,core
504,671,core
505,903,native
506,743,native
507,234,native
508,684,native
509,659,native
510,456,core
511,724,core
512,365,core
513,846,core
514,381,core
515,288,native
516,820,native
517,924,native
518,926,native
519,610,native
520,676,core
521,393,core
522,634,core
523,731,core
524,503,core
525,471,native
526,439,native
527,871,native
528,381,native
529,519,native
530,422,core
531,669,core
532,640,core
533,373,core
534,527,core
535,279,native
536,941,native
537,536,native
538,910,native
539,499,native
540,351,core
541,819,core
542,983,core
543,554,core
544,622,core
545,565,native
546,217,native
547,880,native
548,756,native
549,399,native
550,786,core
551,344,core
552,283,core
553,632,core
554,399,core
555,855,native
556,815,native
557,482,native
558,493,native
559,938,native
560,701,core
561,680,core
562,292,core
563,679,core
564,629,core
565,270,native
566,956,native
567,790,native
568,606,native
569,301,native
570,976,core
571,473,core
572,244,core
573,402,core
574,865,core
575,551,native
576,889,native
577,836,native
578,882,native
579,654,native
580,731,core
581,379,core
582,440,core
583,325,core
584,533,core
585,537,native
586,877,native
587,745,native
588,847,native
589,902,native
590,887,core
591,857,core
592,594,core
593,669,core
594,290,core
595,232,native
596,580,native
597,603,native
598,616,native
599,596,native
600,631,core
601,446,core
602,931,core
603,349,core
604,669,core
605,598,native
606,345,native
607,683,native
608,458,native
609,343,native
610,540,core
611,748,core
612,370,core
613,212,core
614,541,core
615,936,native
616,586,native
617,763,native
618,987,native
619,489,native
620,779,core
621,989,core
622,449,core
623,646,core
624,341,core
625,296,native
626,541,native
627,575,native
628,712,native
629,996,native
630,756,core
631,823,core
632,626,core
633,485,core
634,653,core
635,879,native
636,224,native
637,336,native
638,966,native
639,591,native
640,741,core
641,618,core
642,562,core
643,810,core
644,552,core
645,602,native
646,985,native
647,992,native
648,520,native
649,703,native
650,267,core
651,749,core
652,323,core
653,464,core
654,649,core
655,919,native
656,820,native
657,596,native
658,963,native
659,522,native
660,340,core
661,412,core
662,276,core
663,415,core
664,220,core
665,871,native
666,502,native
667,721,native
668,683,native
669,459,native
670,748,core
671,862,core
672,917,core
673,818,core
674,638,core
675,978,native
676,814,native
677,937,native
678,470,native
679,215,native
680,294,core
681,489,core
682,837,core
683,832,core
684,274,core
685,639,native
686,726,native
687,708,native
688,891,native
689,649,native
690,720,core
691,372,core
692,682,core
693,584,core
694,911,core
695,693,native
696,741,native
697,806,native
698,977,native
699,739,native
700,816,core
701,457,core
702,747,core
703,390,core
704,619,core
705,255,native
706,787,native
707,644,native
708,581,native
709,926,native
710,896,core
711,698,core
712,965,core
713,895,core
714,994,core
715,594,native
716,542,native
717,235,native
718,821,native
719,589,native
720,902,core
721,689,core
722,872,core
723,794,core
724,302,core
725,740,native
726,247,native
727,374,native
728,931,native
729,637,native
730,307,core
731,240,core
732,354,core
733,847,core
734,874,core
735,937,native
736,563,native
737,851,native
738,651,native
739,478,native
740,425,core
741,283,core
742,750,core
743,618,core
744,952,core
745,560,native
746,998,native
747,663,native
748,631,native
749,711,native
750,563,core
751,559,core
752,484,core
753,631,core
754,284,core
755,974,native
756,895,native
757,843,native
758,575,native
759,349,native
760,795,core
761,484,core
762,810,core
763,259,core
764,825,core
765,757,native
766,698,native
767,984,native
768,862,native
769,991,native
770,862,core
771,305,core
772,894,core
773,271,core
774,467,core
775,612,native
776,945,native
777,301,native
778,504,native
779,697,native
780,532,core
781,364,core
782,317,core
783,574,core
784,417,core
785,901,native
786,705,native
787,463,native
788,883,native
789,845,native
790,209,core
791,575,core
792,624,core
793,441,core
794,573,core
795,427,native
796,959,native
797,928,native
798,648,native
799,463,native
800,378,core
801,994,core
802,948,core
803,933,core
804,648,core
805,223,native
806,519,native
807,206,native
808,552,native
809,586,native
810,998,core
811,878,core
812,291,core
813,570,core
814,877,core
815,223,native
816,266,native
817,790,native
818,758,native
819,452,native
820,359,core
821,891,core
822,311,core
823,353,core
824,703,core
825,504,native
826,469,native
827,215,native
828,288,native
829,319,native
830,471,core
831,215,core
832,573,core
833,637,core
834,926,core
835,850,native
836,256,native
837,322,native
838,479,native
839,920,native
840,467,core
841,927,core
842,559,core
843,255,core
844,354,core
845,890,native
846,277,native
847,314,native
848,311,native
849,303,native
850,906,core
851,870,core
852,852,core
853,732,core
854,612,core
855,685,native
856,778,native
857,812,native
858,379,native
859,506,native
860,480,core
861,402,core
862,875,core
863,513,core
864,701,core
865,265,native
866,730,native
867,320,native
868,325,native
869,765,native
870,735,core
871,995,core
872,468,core
873,359,core
874,425,core
875,238,native
876,872,native
877,346,native
878,719,native
879,325,native
880,355,core
881,617,core
882,281,core
883,656,core
884,331,core
885,223,native
886,545,native
887,433,native
888,330,native
889,715,native
890,280,core
891,423,core
892,392,core
893,461,core
894,853,core
895,748,native
896,428,native
897,225,native
898,616,native
899,344,native
900,803,core
901,847,core
902,779,core
903,677,core
904,881,core
905,834,native
906,530,native
907,203,native
908,526,native
909,679,native
910,418,core
911,577,core
912,404,core
913,230,core
914,592,core
915,545,native
916,676,native
917,245,native
918,303,native
919,499,native
920,686,core
921,571,core
922,632,core
923,576,core
924,948,core
925,272,native
926,608,native
927,214,native
928,343,native
929,986,native
930,686,core
931,316,core
932,762,core
933,719,core
934,935,core
935,429,native
936,397,native
937,756,native
938,223,native
939,715,native
940,310,core
941,777,core
942,560,core
943,297,core
944,491,core
945,553,native
946,303,native
947,972,native
948,779,native
949,755,native
950,834,core
951,250,core
952,792,core
953,722,core
954,619,core
955,723,native
956,623,native
957,212,native
958,742,native
959,243,native
960,807,core
961,885,core
962,498,core
963,355,core
964,927,core
965,229,native
966,760,native
967,823,native
968,232,native
969,954,native
970,569,core
971,366,core
972,707,core
973,570,core
974,494,core
975,587,native
976,600,native
977,819,native
978,616,native
979,536,native
980,647,core
981,694,core
982,739,core
983,333,core
984,920,core
985,609,native
986,998,native
987,306,native
988,292,native
989,381,native
990,709,core
991,470,core
992,900,core
993,690,core
994,294,core
995,465,native
996,460,native
997,438,native
998,944,native
999,529,native
