run,run_data,mode,snippet
1,2.579,transpiler,simple
2,2.426,transpiler,simple
3,3.013,transpiler,simple
4,2.508,transpiler,simple
5,2.495,transpiler,simple
6,2.857,miniParser,simple
7,2.767,miniParser,simple
8,2.94,miniParser,simple
9,2.926,miniParser,simple
10,2.776,miniParser,simple
11,3.273,transpiler,conditional
12,3.433,transpiler,conditional
13,3.004,transpiler,conditional
14,3.057,transpiler,conditional
15,3.31,transpiler,conditional
16,2.947,miniParser,conditional
17,2.72,miniParser,conditional
18,2.64,miniParser,conditional
19,2.591,miniParser,conditional
20,2.714,miniParser,conditional
21,3.927,transpiler,nested
22,3.673,transpiler,nested
23,3.784,transpiler,nested
24,3.42,transpiler,nested
25,3.578,transpiler,nested
